district_name,county_name,need_score,birth_cohort,subsidy_cost,averted_societal,net_benefit,benefit_cost_ratio
Törökszentmiklósi,Jász-Nagykun-Szolnok,0.7033889595067355,337.2980950278844,8297533.137685956,9469358.272745827,1171825.1350598708,1.141225725238462
Gyomaendrődi,Békés,0.6976689041385012,182.04027632109722,4478190.797498992,3538696.075576278,-939494.7219227138,0.7902066337934041
Karcagi,Jász-Nagykun-Szolnok,0.6966400822860433,381.62816757162403,9388052.922261951,10713887.504785456,1325834.5825235043,1.1412257252384617
Sárospataki,Borsod-Abaúj-Zemplén,0.6908241475154423,227.1414207977635,5587678.951624981,6782231.745355791,1194552.7937308103,1.2137833622999075
Szécsényi,Nógrád,0.6741457814926173,170.3120515337846,4189676.467731101,4400451.843522322,210775.3757912214,1.050308270200483
Mezőcsáti,Borsod-Abaúj-Zemplén,0.6737954196009643,148.8730081706688,3662276.0009984523,4445209.678162161,782933.677163709,1.2137833622999077
Nyíradonyi,Hajdú-Bihar,0.6659866195273894,287.2718461060637,7066887.4142091675,11408072.17945723,4341184.765248063,1.6142994094570375
Szikszói,Borsod-Abaúj-Zemplén,0.6610128488303547,180.9904521325279,4452365.1224601865,5404206.708526564,951841.5860663773,1.2137833622999072
Kunhegyesi,Jász-Nagykun-Szolnok,0.659164918310047,189.72336143851442,4667194.691387454,5326322.646507748,659127.9551202944,1.1412257252384623
Mezőtúri,Jász-Nagykun-Szolnok,0.657591841510066,242.6701405259053,5969685.45693727,6812758.615038735,843073.1581014646,1.1412257252384619
Berettyóújfalui,Hajdú-Bihar,0.6347314476706949,388.4791902423061,9556588.07996073,15427194.493904771,5870606.413944041,1.6142994094570375
Sarkadi,Békés,0.6191619876870401,177.48130160010757,4366040.019362646,3450073.786707845,-915966.2326548011,0.7902066337934041
Putnoki,Borsod-Abaúj-Zemplén,0.6180646097366592,188.63746259963725,4640481.579951076,5632539.334803804,992057.754852728,1.2137833622999075
Sátoraljaújhelyi,Borsod-Abaúj-Zemplén,0.6035634617600285,216.33476644534304,5321835.254555439,6459555.088880484,1137719.8343250453,1.2137833622999075
Szeghalmi,Békés,0.5978120620014734,231.34371722468737,5691055.44372731,4497109.764919385,-1193945.6788079245,0.7902066337934042
Tiszafüredi,Jász-Nagykun-Szolnok,0.5924910723776686,173.48718021159817,4267784.633205315,4870505.613191299,602720.979985984,1.1412257252384619
Mezőkövesdi,Borsod-Abaúj-Zemplén,0.5917232348751496,413.8461225101093,10180614.613748688,12357060.636155458,2176446.02240677,1.2137833622999077
Kunszentmártoni,Jász-Nagykun-Szolnok,0.5896394213535122,309.375602937065,7610639.832251799,8685457.962090285,1074818.1298384862,1.1412257252384619
Sellyei,Baranya,0.5859292637639618,112.40493758127248,2765161.464499303,1988908.931694523,-776252.5328047802,0.7192740667151823
Püspökladányi,Hajdú-Bihar,0.5807846083965433,355.8869946730077,8754820.068955988,14132900.867218276,5378080.798262289,1.6142994094570382
Rétsági,Nógrád,0.5746954302710378,238.01225075641443,5855101.368607794,6149661.390310933,294560.02170313895,1.0503082702004831
Fonyódi,Somogy,0.5744429646766511,289.81675894214607,7129492.269976793,11183365.82325342,4053873.5532766264,1.5686062064122024
Tamási,Tolna,0.5665021760182615,311.79950110469673,7670267.727175539,7165933.2183932,-504334.5087823393,0.934248121875134
Pásztói,Nógrád,0.5538834255336234,277.588758561693,6828683.4606176475,7172222.713267968,343539.25265032053,1.050308270200483
Miskolci,Borsod-Abaúj-Zemplén,0.5538391320020073,2436.438374519495,59936384.01317957,72749785.71161552,12813401.698435947,1.2137833622999075
Hajdúszoboszlói,Hajdú-Bihar,0.5511458796228083,413.1126467323306,10162571.109615332,16405432.54081718,6242861.431201849,1.6142994094570375
Derecskei,Hajdú-Bihar,0.5407778069889054,407.5028947211143,10024571.21013941,16182659.38458807,6158088.17444866,1.6142994094570375
Siófoki,Somogy,0.5376047367782946,446.327922577925,10979666.895416955,17222773.636489637,6243106.741072683,1.5686062064122028
Paksi,Tolna,0.531148734831201,434.21831811193584,10681770.625553621,9979424.145224443,-702346.4803291783,0.9342481218751337
Mezőkovácsházai,Békés,0.529763143381105,289.58496571198066,7123790.156514724,5629266.239430088,-1494523.9170846362,0.7902066337934042
Kazincbarcikai,Borsod-Abaúj-Zemplén,0.528188802184196,644.2480268916513,15848501.461534621,19236647.391396493,3388145.9298618715,1.2137833622999077
