district_id,district_name,county_id,county_name,nuts3_code,is_budapest_district,pop,jobseekers,jobseeker_rate,county_cases,pop_share,lambda,lambda_lo,lambda_hi,county_child_pop,pop_child,pop_u5,burden_rate,burden_rate_u5,komplex_mutato,kedvezmenyezett_290,komplex_program_290,deprivation_290,evidence_class,confidence,vacant_paed,vacant_any,vacant_paed_practice_rate
030,Sellyei,02,Baranya,,False,8270.0,865.8333333333334,0.104695687222894,135,0.0361275779669828,4.877223025542678,2.438611512771339,7.315834538314017,46670,1686.0740637190872,573.2651816644897,289.2650524962503,8.50779566165442,2100,1,1,1.63249001544887,estimated,low,1.0,6.0,12.091898428053204
031,Siklósi,02,Baranya,,False,21306.0,1813.1666666666667,0.08510122344253575,135,0.09307547474782776,12.565189090956748,6.282594545478374,18.84778363643512,46670,4343.832406481121,1476.9030182035813,289.2650524962503,8.50779566165442,3512,1,0,0.7347381463863805,estimated,low,0.0,1.0,0.0
032,Szentlőrinci,02,Baranya,,False,9048.0,579.0,0.06399204244031831,135,0.0395262787720992,5.336047634233393,2.6680238171166963,8.00407145135009,46670,1844.6914302938699,627.1950862999158,289.2650524962503,8.50779566165442,3654,1,0,0.6444543181945437,estimated,low,1.0,2.0,11.052166224580017
033,Szigetvári,02,Baranya,,False,14972.0,1651.0,0.11027250868287469,135,0.0654053322033454,8.82971984745163,4.414859923725815,13.244579771177445,46670,3052.46685393013,1037.8387303362442,289.2650524962503,8.50779566165442,3416,1,0,0.795775100656918,estimated,low,0.0,1.0,0.0
034,Bácsalmási,03,Bács-Kiskun,,False,10715.0,404.83333333333337,0.03778192564940115,127,0.03385209336416828,4.299215857249371,2.1496079286246856,6.4488237858740565,71938,2435.2518924315377,827.9856434267228,176.5409102282521,5.19237971259565,2871,1,1,1.1422869764636154,estimated,low,1.0,6.0,9.332711152589827
035,Bajai,03,Bács-Kiskun,,False,37770.0,975.0833333333334,0.025816344541523255,127,0.11932744436440838,15.154585434279864,7.577292717139932,22.731878151419796,71938,8584.17769268681,2918.6204155135156,176.5409102282521,5.19237971259565,4489,1,0,0.11355997636226405,estimated,low,3.0,3.0,7.942811755361398
036,Jánoshalmai,03,Bács-Kiskun,,False,9758.0,433.8333333333333,0.04445924711347954,127,0.030828625949375087,3.915235495570636,1.957617747785318,5.872853243355954,71938,2217.749693546145,754.0348958056893,176.5409102282521,5.192379712595651,2306,1,1,1.5015148844100084,estimated,low,1.0,2.0,10.248001639680263
037,Kalocsai,03,Bács-Kiskun,,False,28910.0,1466.3333333333333,0.050720627233944424,127,0.0913358860623523,11.599657529918742,5.799828764959371,17.399486294878113,71938,6570.520971553499,2233.97713032819,176.5409102282521,5.192379712595651,4098,1,0,0.36215840469330757,estimated,low,6.0,9.0,20.75406433759945
038,Kecskeméti,03,Bács-Kiskun,,False,102117.0,2872.5,0.02812949851640765,127,0.32262008568070666,40.97275088144975,20.486375440724874,61.459126322174626,71938,23208.643723698675,7890.93886605755,176.54091022825213,5.192379712595651,5262,0,0,-0.3779146658369601,estimated,low,7.0,11.0,6.85488214499055
039,Kiskőrösi,03,Bács-Kiskun,,False,32467.0,908.6666666666666,0.027987392326567488,127,0.10257358051838092,13.026844725834376,6.513422362917188,19.540267088751563,71938,7378.938235331287,2508.839000012638,176.5409102282521,5.19237971259565,4142,1,0,0.3341831339859779,estimated,low,3.0,7.0,9.24015153848523
