district_id,s0_statusquo,s1_percapita,s2_epi,s3_socio,s4_capacity,s5_fullneed,s6_costgap,s7_statutory,district_name,county_id,county_name,nuts3_code,need_score,need_rank,score_socioeconomic,pop,lambda
014,0.0,31044945.235808212,14167645.012811512,11536931.228336506,63282726.10251282,12927473.625234358,3064114.0825222014,0.0,Budapest 14. ker.,01,főváros,,0.20617799369276174,132,-0.8750722754294216,77374.0,19.16032311532629
015,0.0,20029915.87764342,9140835.50914472,8153641.698473795,13705737.728014521,8053205.522884679,1976938.4950188799,0.0,Budapest 15. ker.,01,főváros,,0.13013654515957135,163,-0.844888597102614,49921.0,12.362065942567318
016,0.0,18111223.188657004,8265222.532547093,3205503.093311343,9188785.212558122,7161254.415096186,1787564.8870546906,0.0,Budapest 16. ker.,01,főváros,,0.09487978725081697,179,-1.040775512637179,45139.0,11.177886953016689
017,0.0,21723517.26622804,9913726.009817779,5777668.586348322,22716381.344717037,8768899.666122822,2144095.751233192,0.0,Budapest 17. ker.,01,főváros,,0.13861566371523715,160,-0.9650254626276634,54142.0,13.407323055677566
018,0.0,25778370.531576578,11764195.424601465,7988700.791150829,31752646.03995736,10482970.7242842,2544306.8934511123,0.0,Budapest 18. ker.,01,főváros,,0.1545009853372489,152,-0.9276198433085715,64248.0,15.909897892231024
019,0.0,14656613.391046582,6688679.72022891,4644723.2085501915,58608768.83679147,6319115.710407772,1446597.349503108,0.0,Budapest 19. ker.,01,főváros,,0.28423331607849556,101,-0.9216572257849317,36529.0,9.045770453637578
020,0.0,16324134.6824367,7449668.329752065,6204269.761662315,36146195.07688285,6828176.000466038,1611180.518616276,0.0,Budapest 20. ker.,01,főváros,,0.21611515381428587,130,-0.8678807048628429,40685.0,10.074931449156693
021,0.0,18516467.775833137,8450159.610414846,7524689.862176696,45162250.24849148,7794119.197351769,1827562.2404724718,0.0,Budapest 21. ker.,01,főváros,,0.23011205603177817,119,-0.8454802443812665,46149.0,11.427995857125039
022,0.0,14364115.070203608,6555195.433332284,3172632.3044648184,9148126.715962602,5715131.089356417,1417727.9726302738,0.0,Budapest 22. ker.,01,főváros,,0.10797330484793315,172,-1.0034153298226607,35800.0,8.86524630403858
023,0.0,6013669.180788036,2744392.993150399,1697509.1998687559,4561385.60425112,2408863.3033159743,593544.8841838699,0.0,Budapest 23. ker.,01,főváros,,0.1222200251528912,164,-0.9511384058756246,14988.0,3.711517083936599
024,0.0,2843131.8264654404,3090032.8172009145,3106461.9891170445,30849.781226670082,2893807.066212466,668298.2995465486,8639596.418920204,Bólyi,02,Baranya,,0.26428471768673134,105,-0.2612321842356478,7086.0,4.178960381982517
025,0.0,2849551.542697934,3097010.0293199117,8573013.13591742,30919.439214198548,3116424.175467289,669807.2993761767,8659104.398415366,Hegyháti,02,Baranya,,0.4329798232872194,62,1.3699391739412137,7102.0,4.188396363652249
026,0.0,8081219.039915388,8783001.830545248,13475830.378276065,18072220.28316099,9009596.188480215,1899547.8480337337,0.0,Komlói,02,Baranya,,0.48020116643675587,57,0.2282477136042738,20141.0,11.878131675629394
027,0.0,8145416.202240321,8852773.95173522,11245695.463830508,88382.92530096378,8392389.338061728,1914637.8463300148,24751968.23320619,Mohácsi,02,Baranya,,0.29208544187594937,98,-0.016039342343243865,20301.0,11.972491492326713
028,0.0,45719212.84649415,49689524.33271135,20823272.214969315,18480616.35679196,45822482.1331712,10746625.224164631,0.0,Pécsi,02,Baranya,,0.22965837206041093,120,-0.8036933391634895,113947.0,67.20011270755883
029,0.0,2703502.998408713,2938278.4536127243,2802081.8472961006,29334.71999792591,2744971.9373270143,635477.5532521374,8215297.864900414,Pécsváradi,02,Baranya,,0.2587570071368454,108,-0.30904225248875633,6738.0,3.9737277806658486
030,0.0,3318190.82766994,3606346.514006713,11663387.833495954,4532137.956737604,3857087.9322816883,779964.2869390287,10083186.901562247,Sellyei,02,Baranya,,0.5859292637639618,36,1.8011054183161297,8270.0,4.877223025542678
031,0.0,8548654.628093801,9291030.087959737,23872282.494989607,92758.31764259565,9283227.784294013,2009421.8981285305,25977313.1952461,Siklósi,02,Baranya,,0.415792868416789,69,1.1860177735872162,21306.0,12.565189090956748
032,0.0,3630349.5294749234,3945613.453292955,7312269.953413831,4535525.076381176,3994395.020786411,853339.4036546956,11031762.404514536,Szentlőrinci,02,Baranya,,0.4477160205667204,60,0.5233818081250954,9048.0,5.336047634233393
033,0.0,6007249.464555543,6528926.240351693,22350610.062882975,65182.46182976353,6714585.8069703095,1412046.5905745027,18254591.812598545,Szigetvári,02,Baranya,,0.48657761856647264,55,1.9761668037841869,14972.0,8.82971984745163
034,0.0,4299203.714447812,3178952.8669397896,4504773.721267827,4542782.567956798,2964116.4152046056,687529.5250873552,13064250.018166807,Bácsalmási,03,Bács-Kiskun,,0.2544246378377704,109,-0.2993770683467069,10715.0,4.299215857249371
035,0.0,15154542.631329339,11205697.600029476,9193268.645894656,13652836.840110872,10196072.369815165,2423517.5140036773,46051024.09576858,Bajai,03,Bács-Kiskun,,0.19997915294819016,134,-0.6749873011123025,37770.0,15.154585434279864
036,0.0,3915224.4372918108,2895027.7252075095,5066356.981146231,4538616.149577753,2736068.6758443112,626123.4816427822,11897428.994612383,Jánoshalmai,03,Bács-Kiskun,,0.2850663831499843,100,-0.08977000900197282,9758.0,3.915235495570636
037,0.0,11599624.76758621,8577090.749718089,17688000.3460789,27102664.182818465,8442336.794685217,1855014.3322702227,35248480.450322196,Kalocsai,03,Bács-Kiskun,,0.3798370582630865,76,0.10678028164235587,28910.0,11.599657529918742
038,0.0,40972635.15709447,30296325.703526877,28349888.26700245,31917513.43556458,27572590.072729595,6552352.077773724,0.0,Kecskeméti,03,Bács-Kiskun,,0.200453307434521,133,-0.6023753405985788,102117.0,40.97275088144975
039,0.0,13026807.932522364,9632390.362196375,8945286.572421288,13629749.570869403,8835067.465769768,2083249.751844252,39585348.14184057,Kiskőrösi,03,Bács-Kiskun,,0.2176875078088755,128,-0.6068361802821736,32467.0,13.026844725834376
040,0.0,9152910.418477228,6767920.933329956,7497767.921483863,4595448.360152541,6140873.051258298,1463735.2801019829,27813501.765228294,Kiskunfélegyházi,03,Bács-Kiskun,,0.19381194807988664,139,-0.49404216894641906,22812.0,9.152936270235433
041,0.0,10462131.297641316,7735995.894116193,10064941.200680532,13601921.204851784,7236842.439897658,1673106.14714445,31791910.33352305,Kiskunhalasi,03,Bács-Kiskun,,0.2618168812282454,107,-0.37240824189404015,26075.0,10.462160847202739
042,0.0,4851700.5427067615,3587484.653946425,4401561.562763596,4548777.508508467,3312702.2278381325,775884.9292913019,14743155.503469251,Kiskunmajsai,03,Bács-Kiskun,,0.2326307511636101,115,-0.4190763677934219,12092.0,4.851714245997145
043,0.0,7406747.603239068,5476758.742296642,10389944.423765622,18064901.84084628,5376138.321919411,1184488.5705191393,22507331.342544027,Kunszentmiklósi,03,Bács-Kiskun,,0.3734024062703567,78,0.0028194511786347447,18460.0,7.406768523081978
044,0.0,6158112.796019134,4553482.837311422,3554806.85281292,4562952.908970511,4117405.3603668674,984806.6403211132,18713029.33073487,Tiszakécskei,03,Bács-Kiskun,,0.186273426007113,143,-0.6999994996309598,15348.0,6.158130189179968
045,0.0,8415445.516269566,10244266.866821794,18147463.98287494,91312.91440137995,10099058.229937382,2215583.630402884,25572522.620721474,Békési,04,Békés,,0.38355154020343435,74,0.644482685642163,20974.0,13.854346510689794
046,0.0,18828626.47763812,22920411.52185307,26340631.998540312,4700436.008230602,22120466.048706267,4957122.772190147,0.0,Békéscsabai,04,Békés,,0.3334388071356007,89,-0.0004159281280970891,46927.0,30.997564542154095
047,0.0,5270988.259141476,6416464.85312472,9716945.935176468,31530127.95242188,7159124.436516375,1387723.9512063835,16017270.414247068,Gyomaendrődi,04,Békés,,0.6976689041385012,19,0.3780280877438075,13137.0,8.677627067365872
048,0.0,9338279.724690469,11367648.853743229,8967393.581850216,4597459.734542425,10854750.454837415,2458543.597501513,0.0,Gyulai,04,Békés,,0.3087332005313875,94,-0.37390002190712995,23274.0,15.373608309802341
049,0.0,8384951.864165224,10207146.418558303,19880234.09695582,13579382.492262103,10679714.704374043,2207555.388011799,25479859.71811945,Mezőkovácsházai,04,Békés,,0.529763143381105,47,0.8270978962811212,20898.0,13.80414481645825
050,0.0,11312342.466182137,13770709.451853422,12948381.67151046,18107280.019008912,13710225.729856428,2978266.6575559704,34375498.36791366,Orosházi,04,Békés,,0.4072037119541874,70,-0.216956902230428,28194.0,18.623507462686568
